sortNumber;code;officialTitle;mediumTitle;shortTitle;note
1;SK0101;Bratislava I;Bratislava I;Bratislava I;101
2;SK0102;Bratislava II;Bratislava II;Bratislava II;102
3;SK0103;Bratislava III;Bratislava III;Bratislava III;103
4;SK0104;Bratislava IV;Bratislava IV;Bratislava IV;104
5;SK0105;Bratislava V;Bratislava V;Bratislava V;105
6;SK0106;Malacky;Malacky;Malacky;106
7;SK0107;Pezinok;Pezinok;Pezinok;107
8;SK0108;Senec;Senec;Senec;108
9;SK0211;Dunajska Streda;Dunajska Streda;Dunajska Streda;201
10;SK0212;Galanta;Galanta;Galanta;202
11;SK0213;Hlohovec;Hlohovec;Hlohovec;203
12;SK0214;Piestany;Piestany;Piestany;204
13;SK0215;Senica;Senica;Senica;205
14;SK0216;Skalica;Skalica;Skalica;206
15;SK0217;Trnava;Trnava;Trnava;207
16;SK0221;Banovce nad Bebravou;Banovce nad Bebravou;Banovce nad Bebravou;301
17;SK0222;Ilava;Ilava;Ilava;302
18;SK0223;Myjava;Myjava;Myjava;303
19;SK0224;Nove Mesto nad Vahom;Nove Mesto nad Vahom;Nove Mesto nad Vahom;304
20;SK0225;Partizanske;Partizanske;Partizanske;305
21;SK0226;Povazska Bystrica;Povazska Bystrica;Povazska Bystrica;306
22;SK0227;Prievidza;Prievidza;Prievidza;307
23;SK0228;Puchov;Puchov;Puchov;308
24;SK0229;Trencin;Trencin;Trencin;309
25;SK0231;Komarno;Komarno;Komarno;401
26;SK0232;Levice;Levice;Levice;402
27;SK0233;Nitra;Nitra;Nitra;403
28;SK0234;Nove Zamky;Nove Zamky;Nove Zamky;404
29;SK0235;sala;sala;sala;405
30;SK0236;Topolcany;Topolcany;Topolcany;406
31;SK0237;Zlate Moravce;Zlate Moravce;Zlate Moravce;407
32;SK031A;Tvrdosin;Tvrdosin;Tvrdosin;510
33;SK031B;zilina;zilina;zilina;511
34;SK0311;Bytca;Bytca;Bytca;501
35;SK0312;cadca;cadca;cadca;502
36;SK0313;Dolny Kubin;Dolny Kubin;Dolny Kubin;503
37;SK0314;Kysucke Nove Mesto;Kysucke Nove Mesto;Kysucke Nove Mesto;504
38;SK0315;Liptovsky Mikulas;Liptovsky Mikulas;Liptovsky Mikulas;505
39;SK0316;Martin;Martin;Martin;506
40;SK0317;Namestovo;Namestovo;Namestovo;507
41;SK0318;Ruzomberok;Ruzomberok;Ruzomberok;508
42;SK0319;Turcianske Teplice;Turcianske Teplice;Turcianske Teplice;509
43;SK032A;Velky Krtis;Velky Krtis;Velky Krtis;610
44;SK032B;Zvolen;Zvolen;Zvolen;611
45;SK032C;zarnovica;zarnovica;zarnovica;612
46;SK032D;ziar nad Hronom;ziar nad Hronom;ziar nad Hronom;613
47;SK0321;Banska Bystrica;Banska Bystrica;Banska Bystrica;601
48;SK0322;Banska stiavnica;Banska stiavnica;Banska stiavnica;602
49;SK0323;Brezno;Brezno;Brezno;603
50;SK0324;Detva;Detva;Detva;604
51;SK0325;Krupina;Krupina;Krupina;605
52;SK0326;Lucenec;Lucenec;Lucenec;606
53;SK0327;Poltar;Poltar;Poltar;607
54;SK0328;Revuca;Revuca;Revuca;608
55;SK0329;Rimavska Sobota;Rimavska Sobota;Rimavska Sobota;609
56;SK041A;Stara lubovna;Stara lubovna;Stara lubovna;710
57;SK041B;Stropkov;Stropkov;Stropkov;711
58;SK041C;Svidnik;Svidnik;Svidnik;712
59;SK041D;Vranov nad Toplou;Vranov nad Toplou;Vranov nad Toplou;713
60;SK0411;Bardejov;Bardejov;Bardejov;701
61;SK0412;Humenne;Humenne;Humenne;702
62;SK0413;Kezmarok;Kezmarok;Kezmarok;703
63;SK0414;Levoca;Levoca;Levoca;704
64;SK0415;Medzilaborce;Medzilaborce;Medzilaborce;705
65;SK0416;Poprad;Poprad;Poprad;706
66;SK0417;Presov;Presov;Presov;707
67;SK0418;Sabinov;Sabinov;Sabinov;708
68;SK0419;Snina;Snina;Snina;709
69;SK042A;Spisska Nova Ves;Spisska Nova Ves;Spisska Nova Ves;810
70;SK042B;Trebisov;Trebisov;Trebisov;811
71;SK0421;Gelnica;Gelnica;Gelnica;801
72;SK0422;Kosice I;Kosice I;Kosice I;802
73;SK0423;Kosice II;Kosice II;Kosice II;803
74;SK0424;Kosice III;Kosice III;Kosice III;804
75;SK0425;Kosice IV;Kosice IV;Kosice IV;805
76;SK0426;Kosice - okolie;Kosice - okolie;Kosice - okolie;806
77;SK0427;Michalovce;Michalovce;Michalovce;807
78;SK0428;Roznava;Roznava;Roznava;808
79;SK0429;Sobrance;Sobrance;Sobrance;809
80;SKZZZ;Zahranicie;Zahranicie;Zahranicie;
81;SKZZZZ;Zahranicie;Zahranicie;Zahranicie;
